,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
37,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,0.8925898510341778,"[0.7951016970167643, 0.9059733698267358, 0.9345131945525423, 0.9362683647659494, 0.7951016970167643, 0.8153931814070886, 0.9068449011175396, 0.8633847184725602, 0.9059733698267358, 0.8153931814070886, 0.9251797968053181, 0.8803104833459343, 0.9345131945525423, 0.9068449011175396, 0.9251797968053181, 0.9629288030313451, 0.9362683647659494, 0.8633847184725602, 0.8803104833459343, 0.9629288030313451]",spacy,0.45169949531555176,0,lime
38,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,0.9862833304031376,"[0.9914466795008516, 0.9875289847696445, 0.9911093835609482, 0.9895715926563274, 0.9914466795008516, 0.9758573485968163, 0.9891254768627327, 0.9874332811955739, 0.9875289847696445, 0.9758573485968163, 0.9808252872965473, 0.9828905725219227, 0.9911093835609482, 0.9891254768627327, 0.9808252872965473, 0.9870446970700111, 0.9895715926563274, 0.9874332811955739, 0.9828905725219227, 0.9870446970700111]",spacy,0.5416343212127686,0,lime
39,"morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan .",0.9542630892788251,"[0.9554407131500617, 0.9196577365110106, 0.9547621776686441, 0.9397951820559426, 0.9554407131500617, 0.9402409277910354, 0.9682757067158839, 0.9732969285980403, 0.9196577365110106, 0.9402409277910354, 0.9675196975898336, 0.9589136886725613, 0.9547621776686441, 0.9682757067158839, 0.9675196975898336, 0.9647281340352378, 0.9397951820559426, 0.9732969285980403, 0.9589136886725613, 0.9647281340352378]",spacy,1.3316771984100342,0,lime
40,"the actors are so terrific at conveying their young angst , we do indeed feel for them .",0.9887655294125868,"[0.9852400417762651, 0.9960729770580232, 0.996301531719312, 0.9902307706140722, 0.9852400417762651, 0.9846462563362411, 0.9807045910287149, 0.9876889331619125, 0.9960729770580232, 0.9846462563362411, 0.9926869484451633, 0.988293192015105, 0.996301531719312, 0.9807045910287149, 0.9926869484451633, 0.9857900519710571, 0.9902307706140722, 0.9876889331619125, 0.988293192015105, 0.9857900519710571]",spacy,0.5165538787841797,0,lime
41,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .",0.9627462783909746,"[0.9679565095705477, 0.9805774009373532, 0.9612088506354037, 0.9602100115125929, 0.9679565095705477, 0.9571622032906509, 0.9392231761308488, 0.9646601549072759, 0.9805774009373532, 0.9571622032906509, 0.9600790062948311, 0.9684153234268976, 0.9612088506354037, 0.9392231761308488, 0.9600790062948311, 0.9679701472033464, 0.9602100115125929, 0.9646601549072759, 0.9684153234268976, 0.9679701472033464]",spacy,1.7199890613555908,0,lime
42,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,0.9554140257713561,"[0.9545244481245717, 0.9621086991801097, 0.9564518809401583, 0.9419816254241152, 0.9545244481245717, 0.9617479015916316, 0.9663165522911374, 0.9554253309555503, 0.9621086991801097, 0.9617479015916316, 0.9343997774190936, 0.9882848333237739, 0.9564518809401583, 0.9663165522911374, 0.9343997774190936, 0.9328992084634193, 0.9419816254241152, 0.9554253309555503, 0.9882848333237739, 0.9328992084634193]",spacy,0.8279561996459961,0,lime
43,"weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",0.9945364048583846,"[0.9931091043819815, 0.9934486382821098, 0.9986235657851643, 0.9930159414032762, 0.9931091043819815, 0.9934451497971869, 0.9940073092382565, 0.9941226673507476, 0.9934486382821098, 0.9934451497971869, 0.9945633845650075, 0.9968951655697355, 0.9986235657851643, 0.9940073092382565, 0.9945633845650075, 0.9941331222103796, 0.9930159414032762, 0.9941226673507476, 0.9968951655697355, 0.9941331222103796]",spacy,0.6469452381134033,0,lime
44,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,0.9778410355160545,"[0.9740872816947148, 0.9742599436505717, 0.9650191246586758, 0.989327276101395, 0.9740872816947148, 0.972853895359181, 0.9788516295222396, 0.9782285905958026, 0.9742599436505717, 0.972853895359181, 0.9900578005859423, 0.9795486292317029, 0.9650191246586758, 0.9788516295222396, 0.9900578005859423, 0.9761761837603212, 0.989327276101395, 0.9782285905958026, 0.9795486292317029, 0.9761761837603212]",spacy,0.7103457450866699,0,lime
45,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .",0.9802022240362179,"[0.9729741487180568, 0.9716923319732815, 0.9935830374354517, 0.9739375924481001, 0.9729741487180568, 0.9834248198327531, 0.9761499077155454, 0.9790974815392988, 0.9716923319732815, 0.9834248198327531, 0.977496434913634, 0.991081554192459, 0.9935830374354517, 0.9761499077155454, 0.977496434913634, 0.9825849315936012, 0.9739375924481001, 0.9790974815392988, 0.991081554192459, 0.9825849315936012]",spacy,0.5091819763183594,0,lime
46,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,0.9914906699602388,"[0.9897551593602972, 0.9935634837981736, 0.9923228643328076, 0.9901763055746287, 0.9897551593602972, 0.9947488942948057, 0.987409230533697, 0.9962747327253197, 0.9935634837981736, 0.9947488942948057, 0.9870825143681963, 0.9964031836230461, 0.9923228643328076, 0.987409230533697, 0.9870825143681963, 0.9871703309914188, 0.9901763055746287, 0.9962747327253197, 0.9964031836230461, 0.9871703309914188]",spacy,0.5294919013977051,0,lime
47,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .,0.9617251162217674,"[0.9469715228391693, 0.9938685308999777, 0.9640118466678731, 0.9754840690700983, 0.9469715228391693, 0.9311305806186558, 0.9626890208584726, 0.9790601025336951, 0.9938685308999777, 0.9311305806186558, 0.9532332481346776, 0.9634284889174631, 0.9640118466678731, 0.9626890208584726, 0.9532332481346776, 0.9473737516775924, 0.9754840690700983, 0.9790601025336951, 0.9634284889174631, 0.9473737516775924]",spacy,0.5155167579650879,0,lime
48,"cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and pulchritude . it makes sense that he went back to school to check out the girls -- his film is a frat boy's idea of a good time .",0.9896641173841567,"[0.9893623258925416, 0.9886474313754215, 0.9881621242394357, 0.993015625251156, 0.9893623258925416, 0.9904248603876974, 0.9851755660100839, 0.9929569485459516, 0.9886474313754215, 0.9904248603876974, 0.9883535177311761, 0.990614129627905, 0.9881621242394357, 0.9851755660100839, 0.9883535177311761, 0.9899286447801982, 0.993015625251156, 0.9929569485459516, 0.990614129627905, 0.9899286447801982]",spacy,1.7063305377960205,0,lime
49,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,0.9856144373020094,"[0.986469002536913, 0.9734499806278816, 0.9835503672076209, 0.9932724678861716, 0.986469002536913, 0.9851609594561916, 0.9888808491251326, 0.9934040068849422, 0.9734499806278816, 0.9851609594561916, 0.9765766765998833, 0.983288392159644, 0.9835503672076209, 0.9888808491251326, 0.9765766765998833, 0.9920916705357132, 0.9932724678861716, 0.9934040068849422, 0.983288392159644, 0.9920916705357132]",spacy,0.5238485336303711,0,lime
50,"an amusing , breezily apolitical documentary about life on the campaign trail .",0.9796311985804472,"[0.968658053872258, 1.0, 0.9735180956671805, 1.0, 0.968658053872258, 0.968658053872258, 0.9697835371861556, 0.968658053872258, 1.0, 0.968658053872258, 0.9735180956671805, 1.0, 0.9735180956671805, 0.9697835371861556, 0.9735180956671805, 0.9735180956671805, 1.0, 0.968658053872258, 1.0, 0.9735180956671805]",spacy,0.45719289779663086,0,lime
51,"a screenplay more ingeniously constructed than "" memento """,0.8865085248588243,"[0.84236757476017, 0.8566572634882416, 0.9560906653637052, 0.9154729078574334, 0.84236757476017, 0.9247749115300684, 0.8460176335545326, 0.8695930943449941, 0.8566572634882416, 0.9247749115300684, 0.8938917648990587, 0.875713823471481, 0.9560906653637052, 0.8460176335545326, 0.8938917648990587, 0.884505609318558, 0.9154729078574334, 0.8695930943449941, 0.875713823471481, 0.884505609318558]",spacy,0.6329741477966309,0,lime
