,Unnamed: 0,Unnamed: 0.1,perplexity,dataset name,model,method,vectorizer
62,62,0,4.321958541870117,spam,rf,sedc,CountVectorizer
63,63,0,3.4904608726501465,spam,rf,sedc,CountVectorizer
64,64,0,2.978015899658203,spam,rf,sedc,CountVectorizer
65,65,0,2.922536849975586,spam,rf,sedc,CountVectorizer
66,66,0,4.073038578033447,spam,rf,sedc,CountVectorizer
67,67,0,2.9476735591888428,spam,rf,sedc,CountVectorizer
68,68,0,3.282054662704468,spam,rf,sedc,CountVectorizer
69,69,0,3.720849752426148,spam,rf,sedc,CountVectorizer
70,70,0,2.91274356842041,spam,rf,sedc,CountVectorizer
71,71,0,3.4885363578796387,spam,rf,sedc,CountVectorizer
72,72,0,3.886576652526856,spam,rf,sedc,CountVectorizer
73,73,0,4.282804489135742,spam,rf,sedc,CountVectorizer
74,74,0,4.336971282958984,spam,rf,sedc,CountVectorizer
75,75,0,5.30990743637085,spam,rf,sedc,CountVectorizer
76,76,0,3.91775107383728,spam,rf,sedc,CountVectorizer
77,77,0,5.058741092681885,spam,rf,sedc,CountVectorizer
78,78,0,3.306570529937744,spam,rf,sedc,CountVectorizer
79,79,0,2.73950719833374,spam,rf,sedc,CountVectorizer
80,80,0,4.08625078201294,spam,rf,sedc,CountVectorizer
81,81,0,2.523240089416504,spam,rf,sedc,CountVectorizer
82,82,0,2.4358174800872803,spam,rf,sedc,CountVectorizer
83,83,0,4.421027660369873,spam,rf,sedc,CountVectorizer
84,84,0,3.811236143112183,spam,rf,sedc,CountVectorizer
85,85,0,3.728837251663208,spam,rf,sedc,CountVectorizer
86,86,0,3.879163026809693,spam,rf,sedc,CountVectorizer
87,87,0,2.9749021530151367,spam,rf,sedc,CountVectorizer
88,88,0,4.751469612121582,spam,rf,sedc,CountVectorizer
89,89,0,2.4347381591796875,spam,rf,sedc,CountVectorizer
90,90,0,3.144248485565185,spam,rf,sedc,CountVectorizer
91,91,0,3.4678781032562256,spam,rf,sedc,CountVectorizer
92,92,0,5.473411560058594,spam,rf,sedc,CountVectorizer
93,93,0,4.181663513183594,spam,rf,sedc,CountVectorizer
94,94,0,2.637370109558105,spam,rf,sedc,CountVectorizer
95,95,0,2.824973821640014,spam,rf,sedc,CountVectorizer
96,96,0,4.754385948181152,spam,rf,sedc,CountVectorizer
97,97,0,4.563990116119385,spam,rf,sedc,CountVectorizer
98,98,0,2.7618420124053955,spam,rf,sedc,CountVectorizer
99,99,0,4.529620170593262,spam,rf,sedc,CountVectorizer
100,100,0,3.424092054367065,spam,rf,sedc,CountVectorizer
101,101,0,2.30741024017334,spam,rf,sedc,CountVectorizer
102,102,0,2.206704616546631,spam,rf,sedc,CountVectorizer
103,103,0,4.575790882110596,spam,rf,sedc,CountVectorizer
104,104,0,2.90460467338562,spam,rf,sedc,CountVectorizer
105,105,0,4.049517154693604,spam,rf,sedc,CountVectorizer
106,106,0,2.329505681991577,spam,rf,sedc,CountVectorizer
107,107,0,2.797975778579712,spam,rf,sedc,CountVectorizer
108,108,0,3.4084668159484863,spam,rf,sedc,CountVectorizer
109,109,0,3.3051538467407227,spam,rf,sedc,CountVectorizer
110,110,0,5.138815402984619,spam,rf,sedc,CountVectorizer
111,111,0,4.499758720397949,spam,rf,sedc,CountVectorizer
112,112,0,5.888124942779541,spam,rf,sedc,CountVectorizer
113,113,0,2.820174217224121,spam,rf,sedc,CountVectorizer
114,114,0,4.935706615447998,spam,rf,sedc,CountVectorizer
115,115,0,3.204469919204712,spam,rf,sedc,CountVectorizer
116,116,0,2.3538835048675537,spam,rf,sedc,CountVectorizer
117,117,0,2.9223344326019287,spam,rf,sedc,CountVectorizer
118,118,0,3.195265054702759,spam,rf,sedc,CountVectorizer
119,119,0,3.1775882244110107,spam,rf,sedc,CountVectorizer
120,120,0,4.234527587890625,spam,rf,sedc,CountVectorizer
121,121,0,3.356539726257324,spam,rf,sedc,CountVectorizer
122,122,0,3.630292892456055,spam,rf,sedc,CountVectorizer
123,123,0,2.283425092697144,spam,rf,sedc,CountVectorizer
124,124,0,3.4711029529571533,spam,rf,sedc,CountVectorizer
125,125,0,4.021182060241699,spam,rf,sedc,CountVectorizer
126,126,0,4.058033466339111,spam,rf,sedc,CountVectorizer
127,127,0,3.5923805236816406,spam,rf,sedc,CountVectorizer
128,128,0,2.6303131580352783,spam,rf,sedc,CountVectorizer
129,129,0,4.555004119873047,spam,rf,sedc,CountVectorizer
130,130,0,3.9629368782043457,spam,rf,sedc,CountVectorizer
131,131,0,4.390766620635986,spam,rf,sedc,CountVectorizer
132,132,0,4.280107975006104,spam,rf,sedc,CountVectorizer
133,133,0,3.7992019653320312,spam,rf,sedc,CountVectorizer
134,134,0,3.136465549468994,spam,rf,sedc,CountVectorizer
135,135,0,3.747905969619751,spam,rf,sedc,CountVectorizer
136,136,0,4.173923015594482,spam,rf,sedc,CountVectorizer
137,137,0,4.364633560180664,spam,rf,sedc,CountVectorizer
138,138,0,3.35473370552063,spam,rf,sedc,CountVectorizer
139,139,0,4.8157148361206055,spam,rf,sedc,CountVectorizer
140,140,0,2.6883766651153564,spam,rf,sedc,CountVectorizer
141,141,0,3.519169807434082,spam,rf,sedc,CountVectorizer
142,142,0,2.888770341873169,spam,rf,sedc,CountVectorizer
143,143,0,3.5579960346221924,spam,rf,sedc,CountVectorizer
144,144,0,3.01601243019104,spam,rf,sedc,CountVectorizer
145,145,0,3.3277831077575684,spam,rf,sedc,CountVectorizer
146,146,0,2.570176839828491,spam,rf,sedc,CountVectorizer
