,dataset,bb,distance,method
22,polarity,RF,0.9612798119060524,wordnet
23,polarity,RF,0.9866990743934998,wordnet
24,polarity,RF,0.9718880497424428,wordnet
25,polarity,RF,0.9149566529756596,wordnet
26,polarity,RF,0.9960005620433904,wordnet
27,polarity,RF,0.8537661881946825,wordnet
28,polarity,RF,0.9824220450842472,wordnet
29,polarity,RF,0.998613743628938,wordnet
30,polarity,RF,0.9783145950514353,wordnet
31,polarity,RF,0.9976360924445984,wordnet
32,polarity,RF,0.9858394254201714,wordnet
33,polarity,RF,0.9810583668420054,wordnet
34,polarity,RF,0.976143116427356,wordnet
35,polarity,RF,0.9934067727837116,wordnet
36,polarity,RF,0.9892234730645492,wordnet
37,polarity,RF,0.980420275023806,wordnet
38,polarity,RF,0.9925561522604356,wordnet
39,polarity,RF,0.9740062832758752,wordnet
40,polarity,RF,0.9891023139349548,wordnet
41,polarity,RF,0.987620613924679,wordnet
42,polarity,RF,0.9704372558137644,wordnet
43,polarity,RF,0.950267186423692,wordnet
44,polarity,RF,0.9825024810909272,wordnet
45,polarity,RF,0.9868195252680392,wordnet
46,polarity,RF,0.986421450930637,wordnet
47,polarity,RF,0.983360845656036,wordnet
48,polarity,RF,0.9931715125027024,wordnet
49,polarity,RF,0.9920240973680198,wordnet
50,polarity,RF,0.9246008991597104,wordnet
51,polarity,RF,0.994213301901884,wordnet
52,polarity,RF,0.9837744635695902,wordnet
53,polarity,RF,0.9974025278868324,wordnet
54,polarity,RF,0.9490978650059904,wordnet
55,polarity,RF,0.995173263456655,wordnet
56,polarity,RF,0.9378140523392552,wordnet
57,polarity,RF,0.974746835885024,wordnet
58,polarity,RF,0.9936486614977116,wordnet
59,polarity,RF,0.9768378717764712,wordnet
60,polarity,RF,0.9731402895446176,wordnet
61,polarity,RF,0.9943929359302124,wordnet
62,polarity,RF,0.9881252104518816,wordnet
63,polarity,RF,0.9446500802605978,wordnet
64,polarity,RF,0.970944455200842,wordnet
65,polarity,RF,0.996734624357712,wordnet
66,polarity,RF,0.9959927348132216,wordnet
67,polarity,RF,0.9952979890078508,wordnet
68,polarity,RF,0.9771897836561196,wordnet
69,polarity,RF,0.9735770390480364,wordnet
70,polarity,RF,0.9741434467123552,wordnet
71,polarity,RF,0.9888774067740334,wordnet
72,polarity,RF,0.9924512040738724,wordnet
73,polarity,RF,0.953277013854289,wordnet
74,polarity,RF,0.9604832740741696,wordnet
0,spam,DNN,0.9450544932260586,wordnet
1,spam,DNN,0.9134089369782624,wordnet
2,spam,DNN,0.9470017033846057,wordnet
3,spam,DNN,0.750090581737736,wordnet
4,spam,DNN,0.9781314541421882,wordnet
5,spam,DNN,0.9533140725738034,wordnet
6,spam,DNN,0.9429701332193527,wordnet
7,spam,DNN,0.8765453750071044,wordnet
8,spam,DNN,0.8595800157967632,wordnet
9,spam,DNN,0.9816318770128316,wordnet
10,spam,DNN,0.9361271969746412,wordnet
11,spam,DNN,0.918437186790076,wordnet
12,spam,DNN,0.926624398715486,wordnet
13,spam,DNN,0.9844445798432886,wordnet
14,spam,DNN,0.946188472035932,wordnet
15,spam,DNN,0.9027250365177744,wordnet
16,spam,DNN,0.9634851243821052,wordnet
17,spam,DNN,0.9180612140342752,wordnet
18,spam,DNN,0.8837778477558189,wordnet
19,spam,DNN,0.9915725179863302,wordnet
20,spam,DNN,0.9522414327501152,wordnet
21,spam,DNN,0.959854876795558,wordnet
22,spam,DNN,0.9416356916145217,wordnet
23,spam,DNN,0.9263173171612672,wordnet
24,spam,DNN,0.8870230169287036,wordnet
25,spam,DNN,0.9057155821260834,wordnet
26,spam,DNN,0.8812078865823516,wordnet
27,spam,DNN,0.9599989661124478,wordnet
28,spam,DNN,0.8961913569250394,wordnet
29,spam,DNN,0.9260904894060518,wordnet
30,spam,DNN,0.783307553126223,wordnet
31,spam,DNN,0.8490716862281179,wordnet
32,spam,DNN,0.8302866036340903,wordnet
33,spam,DNN,0.7187975437152372,wordnet
34,spam,DNN,0.8488794872426174,wordnet
35,spam,DNN,0.8992868566271687,wordnet
36,spam,DNN,0.9409937403386336,wordnet
37,spam,DNN,0.9696724229757904,wordnet
38,spam,DNN,0.9459866959760002,wordnet
39,spam,DNN,0.9174808481905148,wordnet
40,spam,DNN,0.8686086064892669,wordnet
41,spam,DNN,0.9429489150315064,wordnet
42,spam,DNN,0.9427177455232618,wordnet
43,spam,DNN,0.9249618021803392,wordnet
44,spam,DNN,0.942719033829367,wordnet
45,spam,DNN,0.959469579834682,wordnet
46,spam,DNN,0.9326184875455004,wordnet
47,spam,DNN,0.9375922788345092,wordnet
48,spam,DNN,0.9337906943097768,wordnet
49,spam,DNN,0.9286293679922322,wordnet
50,spam,DNN,0.9017386686533296,wordnet
51,spam,DNN,0.917115523300429,wordnet
52,spam,DNN,0.964898270995772,wordnet
53,spam,DNN,0.9408225898838068,wordnet
54,spam,DNN,0.9474519493614304,wordnet
55,spam,DNN,0.9500179008485976,wordnet
56,spam,DNN,0.9427837611633172,wordnet
57,spam,DNN,0.9405393122936992,wordnet
58,spam,DNN,0.8940983507834419,wordnet
59,spam,DNN,0.9512479823375524,wordnet
60,spam,DNN,0.9544362639934116,wordnet
61,spam,DNN,0.9050408246173728,wordnet
62,spam,DNN,0.943847007225955,wordnet
63,spam,DNN,0.6412285780171315,wordnet
64,spam,DNN,0.9877433606732868,wordnet
65,spam,DNN,0.852537364153163,wordnet
66,spam,DNN,0.9436201909350328,wordnet
67,spam,DNN,0.8758849038361906,wordnet
68,spam,DNN,0.9264889339285328,wordnet
69,spam,DNN,0.9579308315151014,wordnet
70,spam,DNN,0.9575882106402313,wordnet
71,spam,DNN,0.9284104902638018,wordnet
72,spam,DNN,0.9365200914332512,wordnet
73,spam,DNN,0.9552227359000928,wordnet
74,spam,DNN,0.760179179688979,wordnet
0,spam,RF,0.970433790921407,wordnet
1,spam,RF,0.9581722988392574,wordnet
2,spam,RF,0.8841721552589867,wordnet
3,spam,RF,0.9229666802035896,wordnet
4,spam,RF,0.9742903927838008,wordnet
5,spam,RF,0.9285629425820604,wordnet
6,spam,RF,0.9871526388528844,wordnet
7,spam,RF,0.975626909428269,wordnet
8,spam,RF,0.9962299829739314,wordnet
9,spam,RF,0.9752502035506636,wordnet
10,spam,RF,0.9799660444719056,wordnet
11,spam,RF,0.9597264587584255,wordnet
12,spam,RF,0.93746193760962,wordnet
13,spam,RF,0.9653385974079948,wordnet
14,spam,RF,0.9426511530688088,wordnet
15,spam,RF,0.8661211281879977,wordnet
16,spam,RF,0.9378404423578586,wordnet
17,spam,RF,0.9845382149857264,wordnet
18,spam,RF,0.955532215759708,wordnet
19,spam,RF,0.9782692581036508,wordnet
20,spam,RF,0.9596641421210602,wordnet
21,spam,RF,0.9602821544903746,wordnet
22,spam,RF,0.962122002605591,wordnet
23,spam,RF,0.9813933594949408,wordnet
